what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911230359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911341921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911345218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911345218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911345328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911398687
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371911407453
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1371911420843
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1371911433171
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371911439203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371911447015
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1371911452203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371911490625
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1371911512375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371911518500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911525515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911525812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371911543406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911546703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911572593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371911578968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911583265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911590625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371911604125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911608687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911613328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371911621234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911625218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911628953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371911663015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371911665390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371912079140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371912086343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371912107359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371912113328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371912316000
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371912328921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371912460796
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1371912472500
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1371912494703
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1371912494968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371912500828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371912511140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371912511343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371912564859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371912567156
